,YearWeek,FlightsPerWeek,DelaysPerWeek,PercDelaysPerWeek
0,2003-22,120838,85,0.0007034211092537116
1,2003-23,123128,1332,0.010818010525631862
2,2003-24,125241,2702,0.021574404548031396
3,2003-25,126291,1836,0.014537853053661782
4,2003-26,126379,868,0.006868229690059266
5,2003-27,121478,1807,0.01487512142116268
6,2003-28,126948,2602,0.020496581277373412
7,2003-29,127011,1240,0.009762933919109368
8,2003-30,127191,2331,0.01832676840342477
9,2003-31,127151,2678,0.02106157246108957
10,2003-32,127167,2467,0.019399687025722083
11,2003-33,127069,1868,0.014700674436723356
12,2003-34,126813,1278,0.01007783113718625
13,2003-35,123239,2036,0.016520744244922468
14,2003-36,123126,859,0.006976593083507951
15,2003-37,121938,1099,0.009012776985025176
16,2003-38,123228,813,0.006597526536176843
17,2003-39,123185,764,0.006202053821488006
18,2003-40,123857,382,0.0030842019425627943
19,2003-41,124361,722,0.005805678629152226
20,2003-42,124381,437,0.003513398348622378
21,2003-43,124446,521,0.004186554810922006
22,2003-44,124695,615,0.004932034163358595
23,2003-45,125448,1501,0.011965117020598177
24,2003-46,125474,1412,0.011253327382565311
25,2003-47,125774,2029,0.016132109975034586
26,2003-48,118342,640,0.005408054621351676
27,2003-49,126160,2036,0.016138237159162967
28,2003-50,125487,2617,0.020854749894411374
29,2003-51,127920,1332,0.010412757973733583
30,2003-52,122083,1263,0.010345420738350139
0,2004-1,126283,2551,0.020200660421434397
1,2004-10,135229,1896,0.014020661248696656
2,2004-11,135406,909,0.006713144173817999
3,2004-12,135618,2104,0.015514164786385289
4,2004-13,135619,667,0.0049181899291397225
5,2004-14,135654,963,0.007098942898845592
6,2004-15,135680,700,0.005159198113207547
7,2004-16,136068,1561,0.01147220507393362
8,2004-17,135620,1458,0.010750626751216635
9,2004-18,135631,1666,0.012283327557859191
10,2004-19,135163,1202,0.008892966270355053
11,2004-2,132852,2773,0.020872850992081415
12,2004-20,135341,3030,0.022387894281851027
13,2004-21,135538,2548,0.018799155956263188
14,2004-22,133525,2339,0.017517318854147163
15,2004-23,134596,1918,0.014250052007489078
16,2004-24,136573,3686,0.02698922920342967
17,2004-25,137720,3685,0.026757188498402557
18,2004-26,138289,4771,0.0345002133213777
19,2004-27,135465,3419,0.025238991621452034
20,2004-28,138708,2334,0.016826715113764167
21,2004-29,139549,2622,0.018789099169467357
22,2004-3,132376,2632,0.01988275820390403
23,2004-30,140173,2022,0.014425031924835739
24,2004-31,140409,3698,0.026337343047810324
25,2004-32,140427,1815,0.012924864876412655
26,2004-33,140375,1831,0.013043633125556545
27,2004-34,140677,2981,0.021190386488196364
28,2004-35,140853,2392,0.01698224389966845
29,2004-36,136551,946,0.0069278145161880906
30,2004-37,136349,1339,0.009820387388246338
31,2004-38,136488,1479,0.01083611746087568
32,2004-39,136565,248,0.0018159850620583604
33,2004-4,132494,1840,0.013887421317191721
34,2004-40,137146,1214,0.008851880477739053
35,2004-41,138278,1740,0.012583346591648708
36,2004-42,138311,651,0.004706783986812329
37,2004-43,138342,3036,0.02194561304592965
38,2004-44,138130,1928,0.013957865778614348
39,2004-45,137820,1304,0.009461616601364098
40,2004-46,137695,1193,0.008664076400740768
41,2004-47,137656,1333,0.009683559016679258
42,2004-48,130797,5112,0.039083465217092134
43,2004-49,137041,1227,0.008953524857524391
